Nutrient,Age-sex group (*: excludes pregnant or breastfeeding),N,Food group_level1,Food group_level2,Food group_level3,Amount,Amount_SE,L95%CI,U95%CI,Unit,Percentage,Percentage_SE,Interpretation_Notes,Food_Group_Level
Calcium,Enfants 1 à 8 ans,128,Produits laitiers et Boissons à base de plantes,Laits et boissons à base de plantes,Boissons à base de plantes,10.483096,1.8,7,13.9,mg,1.134476721,0.2,E,3
Calcium,Enfants 1 à 8 ans,739,Produits laitiers et Boissons à base de plantes,Laits et boissons à base de plantes,Lait écrémé,11.2454266,1.9,7.6,14.9,mg,1.216975843,0.2,E,3
Calcium,Enfants 1 à 8 ans,1078,Produits laitiers et Boissons à base de plantes,Laits et boissons à base de plantes,Lait entier,120.3109386,7.5,105.5,135.1,mg,13.02000464,0.8,,3
Calcium,Enfants 1 à 8 ans,1032,Produits laitiers et Boissons à base de plantes,Yogourts,,59.6826335,3.2,53.4,66,mg,6.458832204,0.3,,2
Calcium,Enfants 1 à 8 ans,2270,Graisses et huiles,,,1.2168483,0.1,1.1,1.4,mg,0.131686865,0,,1
Calcium,Enfants 1 à 8 ans,83,Graisses et huiles,Graisses animales,,0.0082558,0,0,0,mg,0.000893441,0,F,2
Calcium,Enfants 1 à 8 ans,657,Graisses et huiles,Beurre,,0.4207386,0,0.3,0.5,mg,0.045532178,0,,2
Calcium,Enfants 1 à 8 ans,1330,Graisses et huiles,Margarines,,0.3832585,0,0.3,0.4,mg,0.041476093,0,,2
Calcium,Enfants 1 à 8 ans,463,Graisses et huiles,Sauces pour salade,,0.3916687,0.1,0.3,0.5,mg,0.042386241,0,,2
Calcium,Enfants 1 à 8 ans,1035,Graisses et huiles,Shortening,,0.0015129,0,0,0,mg,0.000163727,0,E,2
Calcium,Enfants 1 à 8 ans,1330,Graisses et huiles,Huiles végétales,,0.0114137,0,0,0,mg,0.001235183,0,,2
Calcium,Enfants 1 à 8 ans,298,Poissons et fruits de mer,,,3.3200698,0.6,2.2,4.4,mg,0.359296713,0.1,E,1
Calcium,Enfants 1 à 8 ans,257,Poissons et fruits de mer,Poissons,,2.6214846,0.5,1.7,3.6,mg,0.283696077,0.1,E,2
Calcium,Enfants 1 à 8 ans,50,Poissons et fruits de mer,Mollusques et crustacés,,0.6985853,0.3,0.1,1.3,mg,0.075600636,0,F,2
Calcium,Enfants 1 à 8 ans,2428,Fruits et légumes,,,48.2928994,1.5,45.3,51.3,mg,5.22623946,0.2,,1
Calcium,Enfants 1 à 8 ans,2117,Fruits et légumes,Fruits,,20.1266347,0.8,18.5,21.7,mg,2.178096859,0.1,,2
Calcium,Enfants 1 à 8 ans,978,Fruits et légumes,Fruits,Pomme,3.1868154,0.2,2.8,3.6,mg,0.344875967,0,,3
Calcium,Enfants 1 à 8 ans,873,Fruits et légumes,Fruits,Banane,1.4520061,0.1,1.3,1.6,mg,0.157135558,0,,3
Calcium,Enfants 1 à 8 ans,830,Fruits et légumes,Fruits,Baies,3.0661746,0.3,2.5,3.6,mg,0.331820268,0,,3
Calcium,Enfants 1 à 8 ans,47,Fruits et légumes,Fruits,Cerises,0.2125333,0.1,0.1,0.4,mg,0.023000278,0,E,3
Calcium,Enfants 1 à 8 ans,421,Fruits et légumes,Fruits,Agrumes,6.4119801,0.6,5.3,7.5,mg,0.693902078,0.1,,3
Calcium,Enfants 1 à 8 ans,572,Fruits et légumes,Fruits,Raisins et raisins secs,1.7887618,0.3,1.2,2.3,mg,0.193579131,0,,3
Calcium,Enfants 1 à 8 ans,219,Fruits et légumes,Fruits,Melons,1.1872269,0.2,0.9,1.5,mg,0.128481249,0,,3
Calcium,Enfants 1 à 8 ans,260,Fruits et légumes,Fruits,Autres fruits,1.4273632,0.2,1,1.8,mg,0.154468708,0,,3
